Question,ChoiceA,ChoiceB,ChoiceC,ChoiceD,Correct
MENTOR means,trusted guide,to make up or invent,someone on the other side,to make or produce,a
PREMISE means,basic idea,unfriendly,possible ability,heat movement in fluids,a
SORTIE means,formal speech,quick attack,distance across circle through center,to hold back,b
CONSPICUOUS means,easy to see,based on a guess,producing much,to take back,a
FRAY means,cancel,"rain, snow, etc.",fight or brawl,exciting and joyful,c
MILITANT means,famous and respected,full of joy,to pass (time),ready to fight,d
PROFOUND means,to shorten,deep and meaningful,flinch in pain,huge,b
STAGNATE means,the least valuable part,paying close attention,encourage growth of,stop moving or growing,d
CONTRACT means,written agreement,short rest,break a rule,to hold back,a
FRUGAL means,producing much,to make or produce,thrifty,hate,c
MISCELLANEOUS means,flashy and showy,mixed variety,soak completely,next to,b
PROPOSITION means,proposal,person who entertains guests,to make up or invent,make young again,a
SUBORDINATE means,lower in rank,to take back,skillful movement,based on a guess,a
CONVECTION means,heat movement in fluids,to damage,out of date,very angry,a
FRUITFUL means,pull attention away,producing much,paying close attention,safe place,b
MOROSE means,easy to see,pester repeatedly,never giving up,gloomy,d
PRUDENT means,trick,out of date,wise and careful,never giving up,c
SUCCESSION means,shortness,a series in order,someone on the other side,flinch in pain,b
DETEST means,huge,proposal,hate,in name only,c
HILARITY means,to calm down,a series in order,great laughter,very angry,c
MUNDANE means,able to live or work,run quickly,distance around a circle,ordinary,d
RAMPART means,protective wall,wise and careful,unique,echo back,a
SUCCUMB means,to shorten,proposal,give in,thrifty,c
DEXTERITY means,person who entertains guests,someone on the other side,skillful movement,huge,c
HORIZONTAL means,small leftover,possible ability,level line,stop moving or growing,c
MYTHOLOGY means,grow well,irregular,collection of myths,pull attention away,c
REALM means,introduction,echo back,person who entertains guests,kingdom or area,d
TERTIARY means,gloomy,protective wall,possible ability,third,d
DIAMETER means,possible ability,wonderful,exciting and joyful,distance across circle through center,d
HOST means,quick attack,person who entertains guests,in name only,encourage growth of,b
NOMINAL means,in name only,third,moral principles,the least valuable part,a
REJUVENATE means,hard to see or understand,make young again,famous and respected,very strange,b
TRANSGRESS means,next to,very small or worthless,break a rule,out of date,c
DISTRACT means,basic idea,pull attention away,skillful movement,introduction,b
HOSTILE means,unfriendly,deep and meaningful,to make up or invent,grow well,a
NULLIFY means,flinch in pain,formal speech,hard to see or understand,cancel,d
REMNANT means,thrifty,small leftover,quick attack,break a rule,b
VIABLE means,attack violently,basic idea,to hold back,able to live or work,d
DREG means,hard to see or understand,encourage growth of,protective wall,the least valuable part,d
HYPOTHETICAL means,easy to see,paying close attention,the least valuable part,based on a guess,d
OBSCURE means,shortness,level line,flinch in pain,hard to see or understand,d
REMOTE means,far away,encourage growth of,shortness,to hold back,a
WINCE means,distance around a circle,lower in rank,flinch in pain,huge,c
